No.,Chinese Name,Japanese Name,English Name,Description (Simplified),Description (Traditional),Common,Hidden
163,涡轮火焰,ターボブレイズ,Turboblaze,可以不受对手特性的干扰，向对手使出招式。,可以不受對手特性的干擾，向對手使出招式。,2,0
164,兆级电压,テラボルテージ,Teravolt,可以不受对手特性的干扰，向对手使出招式。,可以不受對手特性的干擾，向對手使出招式。,2,0
165,芳香幕,アロマベール,Aroma Veil,可以防住向自己和同伴发出的心灵攻击。,可防住向自己和同伴發出的心靈攻擊。,2,5
166,花幕,フラワーベール,Flower Veil,我方的草属性宝可梦能力不会降低，也不会变为异常状态。,我方的草屬性寶可夢能力不會降低。也不會陷入異常狀態。,4,0
167,颊囊,ほおぶくろ,Cheek Pouch,无论是哪种树果，食用后，ＨＰ都会回复。,無論是哪種樹果，吃下去後ＨＰ都會回復。,6,0
168,变幻自如,へんげんじざい,Protean,变为与自己使出的招式相同的属性。每次出场战斗仅生效一次。,每次出場戰鬥時，變為與自己使出的招式相同的屬性１次。,0,7
169,毛皮大衣,ファーコート,Fur Coat,对手给予的物理招式的伤害会减半。,對手的物理招式造成的傷害會減半。,2,0
170,魔术师,マジシャン,Magician,夺走被自己的招式击中的对手的道具。,奪走被自己招式擊中的對手的道具。,1,4
171,防弹,ぼうだん,Bulletproof,可以防住对手的球和弹类招式。,可防住對手的球和彈類的招式。,4,6
172,好胜,かちき,Competitive,如果被对手降低能力，特攻会大幅提高。,被對手降低能力時，特攻會大幅提高。,8,7
173,强壮之颚,がんじょうあご,Strong Jaw,因为颚部强壮，啃咬类招式的威力会提高。,顎部強壯，會提高啃咬類招式的威力。,11,0
174,冰冻皮肤,フリーズスキン,Refrigerate,一般属性的招式会变为冰属性。威力会少量提高。,一般屬性的招式會變為冰屬性。威力會少量提高。,3,0
175,甜幕,スイートベール,Sweet Veil,自己和同伴的宝可梦不会变为睡眠状态。,自己和我方的寶可夢不會陷入睡眠狀態。,4,5
176,战斗切换,バトルスイッチ,Stance Change,如果使出攻击招式，会变为刀剑形态，如果使出招式“王者盾牌”，会变为盾牌形态。,若使出攻擊招式，會變為刀劍形態，若使出招式「王者盾牌」，會變為盾牌形態。,1,0
177,疾风之翼,はやてのつばさ,Gale Wings,ＨＰ全满时，飞行属性的招式可以率先使出。,ＨＰ全滿時，可以搶先在對手之前使出飛行屬性的招式。,0,3
178,超级发射器,メガランチャー,Mega Launcher,波动和波导类招式的威力会提高。,波動和波導類招式的威力會提高。,3,0
179,草之毛皮,くさのけがわ,Grass Pelt,在青草场地时，防御会提高。,在青草場地時，防禦會提高。,0,2
180,共生,きょうせい,Symbiosis,同伴使用道具时，会把自己持有的道具传递给同伴。,同伴使用道具時，會把自己持有的道具交給同伴。,0,4
181,硬爪,かたいツメ,Tough Claws,接触到对手的招式威力会提高。,接觸到對手的招式威力會提高。,8,0
182,妖精皮肤,フェアリースキン,Pixilate,一般属性的招式会变为妖精属性。威力会少量提高。,一般屬性的招式會變為妖精屬性。威力會少量提高。,2,1
183,黏滑,ぬめぬめ,Gooey,对于用攻击接触到自己的对手，会降低其速度。,對手用攻擊接觸到自己時，降低此對手的速度。,2,5
184,飞行皮肤,スカイスキン,Aerilate,一般属性的招式会变为飞行属性。威力会少量提高。,一般屬性的招式會變為飛行屬性。威力會少量提高。,2,0
185,亲子爱,おやこあい,Parental Bond,亲子俩可以合计攻击２次。,親子倆可合計攻擊２次。,1,0
186,暗黑气场,ダークオーラ,Dark Aura,全体的恶属性招式变强。,全體的惡屬性招式變強。,1,0
187,妖精气场,フェアリーオーラ,Fairy Aura,全体的妖精属性招式变强。,全體的妖精屬性招式變強。,1,0
188,气场破坏,オーラブレイク,Aura Break,让气场的效果发生逆转，降低威力。,讓氣場的效果逆轉，並降低威力。,1,0
189,始源之海,はじまりのうみ,Primordial Sea,变为不会受到火属性攻击的天气。,變為讓火屬性攻擊失效的天氣。,1,0
190,终结之地,おわりのだいち,Desolate Land,变为不会受到水属性攻击的天气。,變為讓水屬性攻擊失效的天氣。,1,0
191,德尔塔气流,デルタストリーム,Delta Stream,变为令飞行属性的弱点消失的天气。,變為令飛行屬性的弱點消失的天氣。,1,0
192,持久力,じきゅうりょく,Stamina,受到攻击时，防御会提高。,受到攻擊時，防禦會提高。,3,0
193,跃跃欲逃,にげごし,Wimp Out,ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍中。,ＨＰ變為一半時，會慌慌張張逃走，退回同行隊伍裡面。,1,0
194,危险回避,ききかいひ,Emergency Exit,ＨＰ变为一半时，为了回避危险，会退回到同行队伍中。,ＨＰ減到一半時，為了避開危險，會退回同行隊伍裡面。,1,0
195,遇水凝固,みずがため,Water Compaction,受到水属性的招式攻击时，防御会大幅提高。,受到水屬性的招式攻擊時，防禦會大幅提高。,2,0
196,不仁不义,ひとでなし,Merciless,攻击中毒状态的对手时，必定会击中要害。,攻擊中毒狀態的對手時，必定會擊中要害。,2,0
197,界限盾壳,リミットシールド,Shields Down,ＨＰ变为一半时，壳会坏掉，变得有攻击性。,ＨＰ變為一半時，殼會壞掉，變得更有攻擊性。,1,0
198,蹲守,はりこみ,Stakeout,可以对替换出场的对手以２倍的伤害进行攻击。,可以向替換出場的對手以２倍的傷害進行攻擊。,2,6
199,水泡,すいほう,Water Bubble,降低自己受到的火属性招式的威力，不会灼伤。,降低自己受到的火屬性招式的威力。不會灼傷。,2,0
200,钢能力者,はがねつかい,Steelworker,钢属性的招式威力会提高。,鋼屬性的招式威力會提高。,1,0
201,怒火冲天,ぎゃくじょう,Berserk,因对手的攻击ＨＰ变为一半时，特攻会提高。,ＨＰ因對手的攻擊降到一半時，特攻會提高。,2,0
202,拨雪,ゆきかき,Slush Rush,下雪天气时，速度会提高。,天氣為下雪時，速度會提高。,3,4
203,远隔,えんかく,Long Reach,可以不接触对手就使出所有的招式。,可以不接觸對手就使出所有的招式。,0,3
204,湿润之声,うるおいボイス,Liquid Voice,所有的声音招式都变为水属性。,所有的聲音招式都變為水屬性。,0,3
205,先行治疗,ヒーリングシフト,Triage,可以率先使出回复招式。,可以搶先使出回復招式。,1,0
206,电气皮肤,エレキスキン,Galvanize,一般属性的招式会变为电属性。威力会少量提高。,一般屬性的招式會變為電屬性。威力會少量提高。,0,3
207,冲浪之尾,サーフテール,Surge Surfer,电气场地时，速度会变为２倍。,電氣場地時，速度會變為２倍。,1,0
208,鱼群,ぎょぐん,Schooling,ＨＰ多的时候会聚起来变强。ＨＰ剩余量变少时，群体会分崩离析。,ＨＰ多的時候會聚起來變強。ＨＰ剩餘量變少時，群體會分崩離析。,1,0
209,画皮,ばけのかわ,Disguise,通过画皮覆盖住身体，可以防住１次攻击。,用畫皮覆蓋住身體，可防住１次攻擊。,1,0
210,牵绊变身,きずなへんげ,Battle Bond,打倒对手时，与训练家的牵绊会增强，自己的攻击、特攻、速度会提高。,打倒對手時，與訓練家的牽絆會加深，自己的攻擊、特攻和速度會提高。,1,0
211,群聚变形,スワームチェンジ,Power Construct,ＨＰ变为一半时，细胞们会赶来支援，变为完全体形态。,ＨＰ變為一半時，細胞們會趕來支援，變為完全體形態。,1,0
212,腐蚀,ふしょく,Corrosion,可以使钢属性和毒属性的宝可梦也陷入中毒状态。,就算對方是鋼屬性或毒屬性寶可夢，也可讓對方陷入中毒狀態。,2,2
213,绝对睡眠,ぜったいねむり,Comatose,总是半梦半醒的状态，绝对不会醒来。可以就这么睡着进行攻击。,總是半夢半醒的狀態，絕對不會醒來。可在睡著的狀況下進行攻擊。,1,0
214,女王的威严,じょおうのいげん,Queenly Majesty,向对手施加威慑力，使其无法对我方使出先制招式。,向對手施加威懾力，使其無法對我方使出先制招式。,1,0
215,飞出的内在物,とびだすなかみ,Innards Out,被对手打倒的时候，会给予对手相当于ＨＰ剩余量的伤害。,被對手打倒的時候，會給予對手相當於ＨＰ剩餘量的傷害。,1,0
216,舞者,おどりこ,Dancer,有谁使出跳舞招式时，自己也能就这么接着使出跳舞招式。,當有誰使出跳舞招式時，自己也能接著使出跳舞招式。,1,0
217,蓄电池,バッテリー,Battery,会提高我方的特殊招式的威力。,會提高我方的特殊招式的威力。,1,0
218,毛茸茸,もふもふ,Fluffy,会将对手所给予的接触类招式的伤害减半，但火属性招式的伤害会变为２倍。,會將對手所給予的接觸類招式的傷害減半，但火屬性招式的傷害會變為２倍。,4,2
219,鲜艳之躯,ビビッドボディ,Dazzling,让对手吓一跳，使其无法对我方使出先制招式。,讓對手嚇一跳，使其無法對我方使出先制招式。,1,0
220,魂心,ソウルハート,Soul-Heart,宝可梦每次变为濒死状态时，特攻会提高。,每當場上有寶可夢陷入瀕死狀態時，特攻就會提高。,1,0
221,卷发,カーリーヘアー,Tangling Hair,对于用攻击接触到自己的对手，会降低其速度。,對手用攻擊接觸到自己時，降低此對手的速度。,2,0
222,接球手,レシーバー,Receiver,继承被打倒的同伴的特性，变为相同的特性。,繼承被打倒的同伴的特性，變為相同的特性。,1,0
223,化学之力,かがくのちから,Power of Alchemy,继承被打倒的同伴的特性，变为相同的特性。,繼承被打倒的同伴的特性，變為相同的特性。,0,2
224,异兽提升,ビーストブースト,Beast Boost,打倒对手的时候，自己最高的那项能力会提高。,打倒對手的時候，會提高自己最高的那項能力。,11,0
225,ＡＲ系统,ＡＲシステム,RKS System,根据持有的存储碟，自己的属性会改变。,根據持有的記憶碟，自己的屬性會改變。,1,0
226,电气制造者,エレキメイカー,Electric Surge,出场时，会布下电气场地。,出場時，會布下電氣場地。,1,1
227,精神制造者,サイコメイカー,Psychic Surge,出场时，会布下精神场地。,出場時，會布下精神場地。,1,2
228,薄雾制造者,ミストメイカー,Misty Surge,出场时，会布下薄雾场地。,出場時，會布下薄霧場地。,1,1
229,青草制造者,グラスメイカー,Grassy Surge,出场时，会布下青草场地。,出場時，會布下青草場地。,1,3
230,金属防护,メタルプロテクト,Full Metal Body,不会因为对手的招式或特性而被降低能力。,不會因對手的招式或特性而被降低能力。,1,0
231,幻影防守,ファントムガード,Shadow Shield,ＨＰ全满时，受到的伤害会变少。,ＨＰ全滿時，受到的傷害會變少。,1,0
232,棱镜装甲,プリズムアーマー,Prism Armor,受到效果绝佳的攻击时，可以减弱其威力。,受到效果絕佳的攻擊時，可減弱其威力。,1,0
233,脑核之力,ブレインフォース,Neuroforce,效果绝佳的攻击，威力会变得更强。,可進一步提升效果絕佳招式的威力。,1,0
234,不挠之剑,ふとうのけん,Intrepid Sword,首次出场时，攻击会提高。,在戰鬥中首次出場時，攻擊會提高。,1,0
235,不屈之盾,ふくつのたて,Dauntless Shield,首次出场时，防御会提高。,在戰鬥中首次出場時，防禦會提高。,1,0
236,自由者,リベロ,Libero,变为与自己使出的招式相同的属性。每次出场战斗仅生效一次。,每次出場戰鬥時，變為與自己使出的招式相同的屬性１次。,0,3
237,捡球,たまひろい,Ball Fetch,没有携带道具时，会拾取第１个投出后捕捉失败的精灵球。,當寶可夢沒有攜帶道具時，會撿回第１個投出後捕捉失敗的精靈球。,1,0
238,棉絮,わたげ,Cotton Down,受到攻击后撒下棉絮，降低除自己以外的所有宝可梦的速度。,受到攻擊時會撒下棉絮，降低除自己以外的所有寶可夢的速度。,2,0
239,螺旋尾鳍,スクリューおびれ,Propeller Tail,能无视具有吸引对手招式效果的特性或招式的影响。,能無視具有吸引對手招式效果的特性或招式的影響。,0,2
240,镜甲,ミラーアーマー,Mirror Armor,只反弹自己受到的能力降低效果。,只反彈自己受到的能力降低效果。,0,1
241,一口导弹,うのミサイル,Gulp Missile,冲浪或潜水时会叼来猎物。受到伤害时，会吐出猎物进行攻击。,衝浪或潛水時會叼來獵物。當受到傷害時，會吐出獵物攻擊對手。,1,0
242,坚毅,すじがねいり,Stalwart,能无视具有吸引对手招式效果的特性或招式的影响。,能無視具有吸引對手招式效果的特性或招式的影響。,0,2
243,蒸汽机,じょうききかん,Steam Engine,受到水属性或火属性的招式攻击时，速度会巨幅提高。,受到水屬性或火屬性招式攻擊時，速度會極大幅提高。,3,0
244,庞克摇滚,パンクロック,Punk Rock,声音招式的威力会提高。受到的声音招式伤害会减半。,聲音招式的威力會提高。受到聲音招式的傷害會減半。,2,0
245,吐沙,すなはき,Sand Spit,受到攻击时，会刮起沙暴。,受到攻擊時，會刮起沙暴。,2,0
246,冰鳞粉,こおりのりんぷん,Ice Scales,由于有冰鳞粉的守护，受到的特殊攻击伤害会减半。,得到冰鱗粉的守護，受到的特殊攻擊傷害會減半。,0,2
247,熟成,じゅくせい,Ripen,使树果成熟，效果变为２倍。,讓樹果成熟，使效果變為２倍。,3,0
248,结冻头,アイスフェイス,Ice Face,头部的冰会代替自己承受物理攻击，但是样子会改变。下雪时，冰会恢复原状。,頭部的冰會代替自己承受物理攻擊，但是樣子會改變。下雪時，冰會回復原狀。,1,0
249,能量点,パワースポット,Power Spot,只要处在相邻位置，招式的威力就会提高。,只要站在旁邊，招式的威力就會提高。,1,0
250,拟态,ぎたい,Mimicry,宝可梦的属性会根据场地的状态而变化。,寶可夢的屬性會隨著場地的狀態而改變。,1,0
251,除障,バリアフリー,Screen Cleaner,出场时，敌方和我方的光墙、反射壁和极光幕的效果会消失。,出場時，敵方和我方的光牆、反射壁和極光幕的效果會消失。,2,0
252,钢之意志,はがねのせいしん,Steely Spirit,我方的钢属性攻击威力会提高。,我方的鋼屬性攻擊威力會提高。,0,1
253,灭亡之躯,ほろびのボディ,Perish Body,受到接触类招式攻击时，双方都会在３回合后变为濒死状态。替换后效果消失。,在受到接觸類招式攻擊時，３個回合後雙方都會陷入瀕死。替換寶可夢後效果就會消失。,0,1
254,游魂,さまようたましい,Wandering Spirit,与使用接触类招式攻击自己的宝可梦互换特性。,與使用接觸類招式攻擊自己的寶可夢互換特性。,2,0
255,一猩一意,ごりむちゅう,Gorilla Tactics,虽然攻击会提高，但是只能使出一开始所选的招式。,攻擊雖然會提高，但只能使出最初選擇的招式。,1,0
256,化学变化气体,かがくへんかガス,Neutralizing Gas,特性为化学变化气体的宝可梦在场时，场上所有宝可梦的特性效果都会消失或者无法生效。,當場上有特性是化學變化氣體的寶可夢時，所有寶可夢的特性效果都會消失或無法發動。,3,0
257,粉彩护幕,パステルベール,Pastel Veil,自己和同伴都不会陷入中毒的异常状态。,自己和我方同伴都不會陷入中毒的異常狀態。,2,0
258,饱了又饿,はらぺこスイッチ,Hunger Switch,每回合结束时会在满腹花纹与空腹花纹之间交替改变样子。,在每個回合結束時，會在滿腹花紋和空腹花紋之間交替改變樣子。,1,0
259,速击,クイックドロウ,Quick Draw,有时能比对手先一步行动。,有時能比對手先一步行動。,1,0
260,无形拳,ふかしのこぶし,Unseen Fist,如果使出的是接触到对手的招式，就可以无视守护效果进行攻击。,只要是接觸到對手的招式，就可以無視對手的防守效果進行攻擊。,1,0
261,怪药,きみょうなくすり,Curious Medicine,出场时会从贝壳撒药，将我方的能力变化复原。,出場時，會從貝殼撒藥，將我方的能力變化復原。,1,0
262,电晶体,トランジスタ,Transistor,电属性的招式威力会提高。,電屬性的招式威力會提高。,1,0
263,龙颚,りゅうのあぎと,Dragon’s Maw,龙属性的招式威力会提高。,龍屬性的招式威力會提高。,1,0
264,苍白嘶鸣,しろのいななき,Chilling Neigh,打倒对手时会用冰冷的声音嘶鸣并提高攻击。,打倒對手時會用冰冷的聲音嘶鳴並提高攻擊。,1,0
265,漆黑嘶鸣,くろのいななき,Grim Neigh,打倒对手时会用恐怖的声音嘶鸣并提高特攻。,打倒對手時會用恐怖的聲音嘶鳴並提高特攻。,1,0
266,人马一体,じんばいったい,As One,兼备蕾冠王的紧张感和雪暴马的苍白嘶鸣这两种特性。,兼具蕾冠王的緊張感和雪暴馬的蒼白嘶鳴這２種特性。,1,0
267,人马一体,じんばいったい,As One,兼备蕾冠王的紧张感和灵幽马的漆黑嘶鸣这两种特性。,兼具蕾冠王的緊張感和靈幽馬的漆黑嘶鳴這２種特性。,1,0
268,甩不掉的气味,とれないにおい,Lingering Aroma,被对手接触到后，甩不掉的气味会沾上对手。,被對手接觸到時，甩不掉的氣味會沾染給對手。,1,0
269,掉出种子,こぼれダネ,Seed Sower,受到攻击时，会将脚下变成青草场地。,受到攻擊時，會將腳下變成青草場地。,1,0
270,热交换,ねつこうかん,Thermal Exchange,受到火属性的招式攻击时，攻击会提高，且不会陷入灼伤状态。,受到火屬性的招式攻擊時，攻擊會提高。不會陷入灼傷狀態。,3,0
271,愤怒甲壳,いかりのこうら,Anger Shell,因被对手攻击而ＨＰ变为一半时，会因愤怒降低防御和特防。但攻击、特攻、速度会提高。,ＨＰ因對手的攻擊降到一半時，會因憤怒而降低防禦和特防，但攻擊、特攻和速度會提高。,1,0
272,洁净之盐,きよめのしお,Purifying Salt,因洁净的盐而不会陷入异常状态。会让幽灵属性的招式伤害减半。,因潔淨的鹽而不會陷入異常狀態。能夠讓幽靈屬性招式的傷害減半。,3,0
273,焦香之躯,こんがりボディ,Well-Baked Body,受到火属性的招式攻击时，不会受到伤害，而是会大幅提高防御。,受到火屬性的招式攻擊時，不但不會受到傷害，反而防禦會大幅提高。,1,0
274,乘风,かぜのり,Wind Rider,吹起了顺风或受到风的招式攻击时，不会受到伤害，而是会提高攻击。,吹起順風或受到風的招式攻擊時，不但不會受到傷害，反而攻擊會提高。,3,0
275,看门犬,ばんけん,Guard Dog,受到威吓时，攻击会提高。让替换宝可梦的招式和道具无效。,受到威嚇時，攻擊會提高。會讓替換寶可夢的招式和道具失效。,1,1
276,搬岩,いわはこび,Rocky Payload,岩石属性的招式威力会提高。,岩石屬性的招式威力會提高。,0,1
277,风力发电,ふうりょくでんき,Wind Power,受到风的招式攻击时，会变为充电状态。,受到風的招式攻擊時，會變成充電狀態。,2,0
278,全能变身,マイティチェンジ,Zero to Hero,回到同行队伍后，会变为全能形态。,離場後會變為全能形態。,1,0
279,发号施令,しれいとう,Commander,出场时，若我方当中有吃吼霸，就会进入其口中，并从其口中发出指令。,出場時，若我方有吃吼霸，便會進入吃吼霸的口中，從那裡發號施令。,1,0
280,电力转换,でんきにかえる,Electromorphosis,受到伤害时，会变为充电状态。,受到傷害時，會變成充電狀態。,1,0
281,古代活性,こだいかっせい,Protosynthesis,携带着驱劲能量或天气为晴朗时，数值最高的能力会提高。,攜帶著驅勁能量或天氣為晴朗時，數值最高的能力會提高。,10,0
282,夸克充能,クォークチャージ,Quark Drive,携带着驱劲能量或在电气场地上时，数值最高的能力会提高。,攜帶著驅勁能量或在電氣場地時，數值最高的能力會提高。,10,0
283,黄金之躯,おうごんのからだ,Good as Gold,不会氧化的坚固黄金身躯不会受到对手的变化招式的影响。,既不氧化又堅韌的黃金之軀不會受到對手的變化類招式攻擊。,1,0
284,灾祸之鼎,わざわいのうつわ,Vessel of Ruin,以能呼唤灾厄的鼎的力量降低除自己以外的宝可梦的特攻。,在喚來災厄之鼎的力量下，除自己以外的特攻會變弱。,1,0
285,灾祸之剑,わざわいのつるぎ,Sword of Ruin,以能呼唤灾厄的剑的力量降低除自己以外的宝可梦的防御。,在喚來災厄之劍的力量下，除自己以外的防禦會變弱。,1,0
286,灾祸之简,わざわいのおふだ,Tablets of Ruin,以能呼唤灾厄的简的力量降低除自己以外的宝可梦的攻击。,在喚來災厄之木簡的力量下，除自己以外的攻擊會變弱。,1,0
287,灾祸之玉,わざわいのたま,Beads of Ruin,以能呼唤灾厄的勾玉的力量降低除自己以外的宝可梦的特防。,在喚來災厄之勾玉的力量下，除自己以外的特防會變弱。,1,0
288,绯红脉动,ひひいろのこどう,Orichalcum Pulse,出场时，会将天气变为晴朗。日照强烈时，会通过古代的脉动升高攻击。,出場時，會將天氣變為晴朗。日照很強時，會因為古代的脈動而使攻擊升高。,1,0
289,强子引擎,ハドロンエンジン,Hadron Engine,出场时，会布下电气场地。处于电气场地时，会通过未来的机关升高特攻。,出場時，會布下電氣場地。在電氣場地時，會因為未來的機關而使特攻升高。,1,0
290,跟风,びんじょう,Opportunist,对手的能力提高时，自己也会趁机同样地提高能力。,對手的能力提高時，自己也會跟著提高能力。,1,0
291,反刍,はんすう,Cud Chew,吃了树果后，会在下一回合结束时从胃反刍出来再吃１次。,食用樹果後，會在下一回合結束時從胃裡取出，以１次為限再次食用。,1,1
292,锋锐,きれあじ,Sharpness,提高切割对手的招式的威力。,切斬對手的招式威力會提高。,1,3
293,大将,そうだいしょう,Supreme Overlord,出场时，攻击和特攻会按照目前被打倒的同伴数量逐渐提升，被打倒越多，提升越多。,出場時，先前每有１隻同伴被打倒，攻擊和特攻就會提高少許。,1,0
294,同台共演,きょうえん,Costar,出场时，复制同伴的能力变化。,出場時，會複製同伴的能力變化。,0,1
295,毒满地,どくげしょう,Toxic Debris,受到物理招式的伤害时，会在对手脚下散布毒菱。,因物理招式受到傷害時，會在對手腳下散布毒菱。,2,0
296,尾甲,テイルアーマー,Armor Tail,包裹头部的神秘尾巴使对手无法对我方使出先制招式。,包覆著頭部的神秘尾巴使對手無法對我方使出先制招式。,1,0
297,食土,どしょく,Earth Eater,受到地面属性的招式攻击时，不会受到伤害，而是会得到回复。,受到地面屬性的招式攻擊時，不會受到傷害，而是會回復。,1,0
298,菌丝之力,きんしのちから,Mycelium Might,使出变化招式时，虽然行动必定会变慢，但能不受对手的特性妨碍。,使出變化類招式時，行動一定會變緩慢，但不會受到對手特性的干擾。,2,0
299,款待,おもてなし,Hospitality,出场时款待同伴，回复其少量ＨＰ。,出場時款待同伴，使其回復少量ＨＰ。,2,0
300,心眼,しんがん,Mind's Eye,一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。无视对手的闪避率的变化，且命中率不会被降低。,一般屬性和格鬥屬性的招式可擊中幽靈屬性的寶可夢。可無視對手閃避率的變化，且命中率不會被降低。,1,0
301,面影辉映,おもかげやどし,Embody Aspect,将回忆映于心中，让碧草面具发出光辉，提高自己的速度。,將回憶映於心中，使碧草面具發出光輝，提高自己的速度。,1,0
302,面影辉映,おもかげやどし,Embody Aspect,将回忆映于心中，让火灶面具发出光辉，提高自己的攻击。,將回憶映於心中，使火灶面具發出光輝，提高自己的攻擊。,1,0
303,面影辉映,おもかげやどし,Embody Aspect,将回忆映于心中，让水井面具发出光辉，提高自己的特防。,將回憶映於心中，使水井面具發出光輝，提高自己的特防。,1,0
304,面影辉映,おもかげやどし,Embody Aspect,将回忆映于心中，让础石面具发出光辉，提高自己的防御。,將回憶映於心中，使礎石面具發出光輝，提高自己的防禦。,1,0
305,毒锁链,どくのくさり,Toxic Chain,凭借含有毒素的锁链的力量，有时能让被招式击中的对手陷入剧毒状态。,靠著含有毒素的鎖鏈的力量，有時會讓被招式擊中的對手陷入劇毒狀態。,3,0
306,甘露之蜜,かんろなミツ,Supersweet Syrup,首次出场时，会散发出甜腻的蜜的香味来降低对手的闪避率。,在對戰中首次出場時，會四處散播甜膩的蜜香，降低對手的閃避率。,2,0
308,太晶变形,テラスチェンジ,Tera Shift,出场时，会吸收周围的能量，变为太晶形态。,出場時，會吸收周圍的能量，變為太晶形態。,1,0
309,太晶甲壳,テラスシェル,Tera Shell,甲壳蕴藏着全部属性的力量，会将自己ＨＰ全满时受到的伤害全都变为效果不好。,蘊藏著所有屬性力量的甲殼會將自身ＨＰ全滿時受到的傷害全都變為效果不好。,1,0
310,归零化境,ゼロフォーミング,Teraform Zero,太乐巴戈斯变为星晶形态时，蕴藏在它身上的力量会将天气和场地的影响全部归零。,太樂巴戈斯變為星晶形態時，蘊藏其身的力量會將天氣和場地的影響全部歸零。,1,0
311,毒傀儡,どくくぐつ,Poison Puppeteer,因桃歹郎的招式而陷入中毒状态的对手同时也会陷入混乱状态。,因為桃歹郎的招式而陷入中毒狀態的對手同時也會陷入混亂狀態。,1,0
