No.,Chinese Name,Japanese Name,English Name
1,除虫喷雾,むしよけスプレー,Repel,使用后，在较短的一段时间内，弱小的野生宝可梦将完全不会出现。
2,白银喷雾,シルバースプレー,Super Repel,弱小的野生宝可梦将完全不会出现。效果比除虫喷雾更持久。
3,黄金喷雾,ゴールドスプレー,Max Repel,弱小的野生宝可梦将完全不会出现。效果比白银喷雾更持久。
4,木箱,きのはこ,Normal Box,打开看看。
5,桐木箱,きりのはこ,Gorgeous Box,打开看看。
6,蓝色玻璃哨,あおいビードロ,Blue Flute,以蓝色玻璃制成的哨子。可以治愈睡眠状态。
7,黄色玻璃哨,きいろビードロ,Yellow Flute,以黄色玻璃制成的哨子。可以治愈混乱状态。
8,红色玻璃哨,あかいビードロ,Red Flute,以红色玻璃制成的哨子。可以治愈着迷状态。
9,黑色玻璃哨,くろいビードロ,Black Flute,以黑色玻璃制成的哨子。在使用的地方更容易遇到强大的宝可梦。
10,白色玻璃哨,しろいビードロ,White Flute,以白色玻璃制成的哨子。在使用的地方更容易遇到弱小的宝可梦。
11,速速肥,すくすくこやし,Growth Mulch,培育树果时的肥料。但完全不适合丰缘地区的土壤，所以没什么效果。
12,湿湿肥,じめじめこやし,Damp Mulch,-
13,久久肥,ながながこやし,Stable Mulch,-
14,粘粘肥,ねばねばこやし,Gooey Mulch,-
15,硕果肥,たわわこやし,Rich Mulch,-
16,吃惊肥,びっくりこやし,Surprise Mulch,-
17,劲劲肥,ぐんぐんこやし,Boost Mulch,-
18,超效肥,とんでもこやし,Amaze Mulch,-
19,朱红色花蜜,くれないのミツ,Red Nectar,朱红色花的花蜜。可以改变特定宝可梦的样子。
20,金黄色花蜜,やまぶきのミツ,Yellow Nectar,金黄色花的花蜜。可以改变特定宝可梦的样子。
21,桃粉色花蜜,うすもものミツ,Pink Nectar,桃粉色花的花蜜。可以改变特定宝可梦的样子。
22,兰紫色花蜜,むらさきのミツ,Purple Nectar,兰紫色花的花蜜。可以改变特定宝可梦的样子。
23,树叶信,"rowspan=""2""",このはのおてがみ,"rowspan=""2""| Leaf Letter"
24,小小花束,ちいさなはなたば,Small Bouquet,竭尽心力制作的素雅花束。里面满满都是对训练家的心意。
25,引虫香水,むしよせコロン,Lure,使用该香水后的一小段时间内，稀有宝可梦会更容易出现。
26,白银香水,シルバーコロン,Super Lure,使用该香水后，稀有宝可梦会更容易出现。效果比引虫香水更持久。
27,黄金香水,ゴールドコロン,Max Lure,使用该香水后，稀有宝可梦会更容易出现。效果比白银香水更持久。
28,许愿星碎片,ねがいのかけら,Wishing Chip,投掷数个到宝可梦的巢穴里，可能就会有极巨化宝可梦出现。
29,许愿星块,ねがいのかたまり,Wishing Pieces,投掷到宝可梦的巢穴里，就会有极巨化宝可梦出现。
30,楔石,かなめいし,Odd Keystone,没有它，石之塔就会崩塌的重要石头。有时能从石头里听到声音。
31,折价券,バーゲンチケット,Discount Coupon,在时装店买道具时，能以比平时更低的价格购买的券。
32,匿声喷雾,ひそやかスプレー,Stealth Spray,使用后的一小段时间内，自己的脚步声将会消失，变得不容易被野生宝可梦察觉。
33,晶晶蜜,きらきらミツ,Dazzling Honey,闪耀着琥珀色光泽的蜜。是虫宝可梦和妖精类宝可梦喜爱的食物，能吸引它们聚集到投向的地方。
34,旺旺谷,いきいきイナホ,Hearty Grains,美丽且生气勃勃的谷物。是陆地上的宝可梦喜爱的食物，能吸引它们聚集到投向的地方。
35,滚滚豆,ころころマメ,Plump Beans,结实饱满的大颗豆子。是鸟宝可梦和鱼宝可梦喜爱的食物，能吸引它们聚集到投向的地方。
36,糯糯菇,もちもちキノコ,Springy Mushroom,硕大而成熟的蘑菇。是怪兽类和龙类宝可梦喜爱的食物，能吸引它们聚集到投向的地方。
37,坚坚矿,ごりごりミネラル,Crunchy Salt,晶莹剔透的矿物。是草类和岩石类宝可梦喜爱的食物，能吸引它们聚集到投向的地方。
38,泥丸,どろだんご,Ball of Mud,硬邦邦的坚固泥丸。被它击中的宝可梦动作会变得迟缓，有时还会生出破绽。
39,蛀球果,むしくいぼんぐり,Spoiled Apricorn,果肉被吃掉了的球果。被它投中的宝可梦动作会变得迟缓，有时还会生出破绽。
40,雪丸,ゆきだま,Snowball,用雪压成的球状物体。用它投中宝可梦能使其动作变得迟缓，有时还会生出破绽。
41,黏丸,ねばりだま,Sticky Glob,黏糊糊的球状物体。用它投中宝可梦能使其动作变得迟缓，有时还会生出破绽。
42,声弹,ばりばりだま,Scatter Bang,丢向地面后会发出巨大的声响，将弱小的宝可梦赶走。
43,烟弹,めかくしだま,Smoke Bomb,丢向地面后，飞散的细粉会遮蔽周围的视野，让自己不会被宝可梦察觉。
44,蜜诱团,ミツよせだま,Honey Cake,由蜜与诱团原料糅合而成。对虫宝可梦和妖精类宝可梦有着很强的吸引力。
45,谷诱团,イナホよせだま,Grain Cake,由谷物与诱团原料糅合而成。对陆地上的宝可梦有着很强的吸引力。
46,豆诱团,マメよせだま,Bean Cake,由豆子与诱团原料糅合而成。对鸟宝可梦和鱼宝可梦有着很强的吸引力。
47,菇诱团,キノコよせだま,Mushroom Cake,由蘑菇与诱团原料糅合而成。对怪兽类和龙类宝可梦有着很强的吸引力。
48,矿诱团,ミネラルよせだま,Salt Cake,由矿物与诱团原料糅合而成。对草类和岩石类宝可梦有着很强的吸引力。
49,ＰＰ提升剂,ポイントアップ,PP Up,能让宝可梦学会的其中１个招式的ＰＰ最大值少量提高。
50,ＰＰ极限提升剂,ポイントマックス,PP Max,能将宝可梦学会的其中１个招式的ＰＰ最大值提至最高。
51,ＨＰ增强剂,マックスアップ,HP Up,宝可梦的营养饮料。能提高１只宝可梦的ＨＰ的基础点数。
52,攻击增强剂,タウリン,Protein,宝可梦的营养饮料。能提高１只宝可梦的攻击的基础点数。
53,防御增强剂,ブロムヘキシン,Iron,宝可梦的营养饮料。能提高１只宝可梦的防御的基础点数。
54,特攻增强剂,リゾチウム,Calcium,宝可梦的营养饮料。能提高１只宝可梦的特攻的基础点数。
55,特防增强剂,キトサン,Zinc,宝可梦的营养饮料。能提高１只宝可梦的特防的基础点数。
56,速度增强剂,インドメタシン,Carbos,宝可梦的营养饮料。能提高１只宝可梦的速度的基础点数。
57,体力之羽,たいりょくのハネ,Health Wing,用于宝可梦的道具。能稍微提高１只宝可梦的ＨＰ的基础点数。
58,肌力之羽,きんりょくのハネ,Muscle Wing,用于宝可梦的道具。能稍微提高１只宝可梦的攻击的基础点数。
59,抵抗之羽,ていこうのハネ,Resist Wing,用于宝可梦的道具。能稍微提高１只宝可梦的防御的基础点数。
60,智力之羽,ちりょくのハネ,Genius Wing,用于宝可梦的道具。能稍微提高１只宝可梦的特攻的基础点数。
61,精神之羽,せいしんのハネ,Clever Wing,用于宝可梦的道具。能稍微提高１只宝可梦的特防的基础点数。
62,瞬发之羽,しゅんぱつのハネ,Swift Wing,用于宝可梦的道具。能稍微提高１只宝可梦的速度的基础点数。
63,特性胶囊,とくせいカプセル,Ability Capsule,如果用于有着２种特性的宝可梦，就能令其现有特性变为另一种的胶囊。
64,特性膏药,とくせいパッチ,Ability Patch,可以改变宝可梦特性的膏药。给拥有常见特性的宝可梦使用后，其特性会转变为稀有特性。
65,怕寂寞薄荷,さみしがりミント,Lonely Mint,宝可梦闻了这种薄荷之后，攻击会易于提高，而防御则难以提高。
66,固执薄荷,いじっぱりミント,Adamant Mint,宝可梦闻了这种薄荷之后，攻击会易于提高，而特攻则难以提高。
67,顽皮薄荷,やんちゃミント,Naughty Mint,宝可梦闻了这种薄荷之后，会令攻击容易提高，而特防则难以提高。
68,勇敢薄荷,ゆうかんミント,Brave Mint,宝可梦闻了这种薄荷之后，会令攻击容易提高，而速度则难以提高。
69,大胆薄荷,ずぶといミント,Bold Mint,宝可梦闻了这种薄荷之后，会令防御容易提高，而攻击则难以提高。
70,淘气薄荷,わんぱくミント,Impish Mint,宝可梦闻了这种薄荷之后，会令防御容易提高，而特攻则难以提高。
71,乐天薄荷,のうてんきミント,Lax Mint,宝可梦闻了这种薄荷之后，会令防御容易提高，而特防则难以提高。
72,悠闲薄荷,のんきミント,Relaxed Mint,宝可梦闻了这种薄荷之后，会令防御容易提高，而速度则难以提高。
73,内敛薄荷,ひかえめミント,Modest Mint,宝可梦闻了这种薄荷之后，会令特攻容易提高，而攻击则难以提高。
74,慢吞吞薄荷,おっとりミント,Mild Mint,宝可梦闻了这种薄荷之后，会令特攻容易提高，而防御则难以提高。
75,马虎薄荷,うっかりやミント,Rash Mint,宝可梦闻了这种薄荷之后，会令特攻容易提高，而特防则难以提高。
76,冷静薄荷,れいせいミント,Quiet Mint,宝可梦闻了这种薄荷之后，会令特攻容易提高，而速度则难以提高。
77,温和薄荷,おだやかミント,Calm Mint,宝可梦闻了这种薄荷之后，会令特防容易提高，而攻击则难以提高。
78,温顺薄荷,おとなしいミント,Gentle Mint,宝可梦闻了这种薄荷之后，会令特防容易提高，而防御则难以提高。
79,慎重薄荷,しんちょうミント,Careful Mint,宝可梦闻了这种薄荷之后，会令特防容易提高，而特攻则难以提高。
80,自大薄荷,なまいきミント,Sassy Mint,宝可梦闻了这种薄荷之后，会令特防容易提高，而速度则难以提高。
81,胆小薄荷,おくびょうミント,Timid Mint,宝可梦闻了这种薄荷之后，会令速度容易提高，而攻击则难以提高。
82,急躁薄荷,せっかちミント,Hasty Mint,宝可梦闻了这种薄荷之后，会令速度容易提高，而防御则难以提高。
83,爽朗薄荷,ようきミント,Jolly Mint,宝可梦闻了这种薄荷之后，会令速度容易提高，而特攻则难以提高。
84,天真薄荷,むじゃきミント,Naive Mint,宝可梦闻了这种薄荷之后，会令速度容易提高，而特防则难以提高。
85,认真薄荷,まじめミント,Serious Mint,宝可梦闻了这种薄荷之后，攻击、防御、速度、特防、特攻能全方位提高。
86,奋斗沙,ガンバリのすな,Grit Dust,不可思议的沙子。能让宝可梦的奋斗等级提升。可用于奋斗等级０～２的宝可梦。
87,奋斗砾,ガンバリのじゃり,Grit Gravel,不可思议的沙砾。能让宝可梦的奋斗等级提升。可用于奋斗等级３～５的宝可梦。
88,奋斗石,ガンバリのいし,Grit Pebble,不可思议的石块。能让宝可梦的奋斗等级提升。可用于奋斗等级６～８的宝可梦。
89,奋斗岩,ガンバリのいわ,Grit Rock,不可思议的岩石。能让宝可梦的奋斗等级提升。可用于奋斗等级９的宝可梦。
90,体力粘糕,たいりょくのもち,Health Mochi,糅合树果的粘糕。能提高１只宝可梦的ＨＰ的基础点数。
91,肌力粘糕,きんりょくのもち,Muscle Mochi,糅合树果的粘糕。能提高１只宝可梦的攻击的基础点数。
92,抵抗粘糕,ていこうのもち,Resist Mochi,糅合树果的粘糕。能提高１只宝可梦的防御的基础点数。
93,智力粘糕,ちりょくのもち,Genius Mochi,糅合树果的粘糕。能提高１只宝可梦的特攻的基础点数。
94,精神粘糕,せいしんのもち,Clever Mochi,糅合树果的粘糕。能提高１只宝可梦的特防的基础点数。
95,瞬发粘糕,しゅんぱつのもち,Swift Mochi,糅合树果的粘糕。能提高１只宝可梦的速度的基础点数。
96,净空粘糕,まっさらもち,Fresh-Start Mochi,糅合树果的粘糕。能让宝可梦的基础点数全部消失。
97,火之石,ほのおのいし,Fire Stone,能让某些特定宝可梦进化的神奇石头。看上去是橙黄色的。
98,雷之石,かみなりのいし,Thunder Stone,能让某些特定宝可梦进化的神奇石头。有着闪电般的花纹。
99,水之石,みずのいし,Water Stone,能让某些特定宝可梦进化的神奇石头。看上去是澄蓝色的。
100,叶之石,リーフのいし,Leaf Stone,能让某些特定宝可梦进化的神奇石头。有着叶子般的花纹。
101,月之石,つきのいし,Moon Stone,能让某些特定宝可梦进化的神奇石头。像夜空一样乌黑。
102,日之石,たいようのいし,Sun Stone,能让某些特定宝可梦进化的神奇石头。像太阳一样赤红。
103,光之石,ひかりのいし,Shiny Stone,能让某些特定宝可梦进化的神奇石头。像光芒一样耀眼。
104,暗之石,やみのいし,Dusk Stone,能让某些特定宝可梦进化的神奇石头。像黑夜一般漆黑。
105,觉醒之石,めざめいし,Dawn Stone,能让某些特定宝可梦进化的神奇石头。像眼眸一般光彩动人。
106,冰之石,こおりのいし,Ice Stone,能让某些特定宝可梦进化的神奇石头。有着雪花般的花纹。
107,甜甜苹果,あまーいりんご,Sweet Apple,这种神奇的苹果可以使特定的宝可梦进化。吃起来非常甜美。
108,酸酸苹果,すっぱいりんご,Tart Apple,这种神奇的苹果可以使特定的宝可梦进化。吃起来酸酸的。
109,破裂的茶壶,われたポット,Cracked Pot,这个神奇的茶壶可以使特定的宝可梦进化。虽然有破损，但泡出来的茶依旧清香。
110,缺损的茶壶,かけたポット,Chipped Pot,这个神奇的茶壶可以使特定的宝可梦进化。虽然有缺陷，但泡出来的茶依旧清香。
111,伽勒豆蔻手环,ガラナツブレス,Galarica Cuff,用伽勒豆蔻枝编织的手环。给伽勒尔地区的呆呆兽戴上，它就会很开心。
112,伽勒豆蔻花圈,ガラナツリース,Galarica Wreath,用伽勒豆蔻枝编织的花冠。给伽勒尔地区的呆呆兽戴上，它就会很开心。
113,联系绳,つながりのヒモ,Linking Cord,蕴藏着不可思议能量的绳子，能从中感受到某种联系。某种宝可梦们很喜欢它。
114,黑奇石,くろのきせき,Black Augurite,破碎后会变得十分锋利，性质类似玻璃的黑石。某种宝可梦很喜欢它。
115,泥炭块,ピートブロック,Peat Block,质地像是泥土的煤炭块。干燥后也能当成燃料使用。某种宝可梦很喜欢它。
116,庆祝之铠,イワイノヨロイ,Auspicious Armor,能让某些特定宝可梦进化的神奇铠甲。蕴含着祝贺的感情。
117,咒术之铠,ノロイノヨロイ,Malicious Armor,能让某些特定宝可梦进化的神奇铠甲。蕴含着诅咒的感情。
118,蜜汁苹果,みついりりんご,Syrupy Apple,这种神奇的苹果可以使特定的宝可梦进化。富含蜜汁。
119,凡作茶碗,ボンサクのちゃわん,Unremarkable Teacup,这个神奇的茶碗可以使特定的宝可梦进化。虽然破裂了，但泡出来的茶会很香。
120,杰作茶碗,ケッサクのちゃわん,Masterpiece Teacup,这个神奇的茶碗可以使特定的宝可梦进化。虽然破缺了，但泡出来的茶会很香。
121,复合金属,ふくごうきんぞく,Metal Alloy,能让某些特定宝可梦进化的神奇金属。由多个层次叠加而成。
122,红色碎片,あかいかけら,Red Shard,红色的小碎片。好像是以前制作的某道具的一部分。
123,绿色碎片,みどりのかけら,Green Shard,绿色的小碎片。好像是以前制作的某道具的一部分。
124,蓝色碎片,あおいかけら,Blue Shard,蓝色的小碎片。好像是以前制作的某道具的一部分。
125,黄色碎片,きいろいかけら,Yellow Shard,黄色的小碎片。好像是以前制作的某道具的一部分。
126,浅滩海盐,あさせのしお,Shoal Salt,在浅滩洞穴这地方找到的海盐。
127,浅滩贝壳,あさせのかいがら,Shoal Shell,在浅滩洞穴这地方找到的贝壳。
128,心之鳞片,ハートのウロコ,Heart Scale,有着美丽心形外形且非常珍稀的鳞片。有些人收到会很高兴。
129,释出之玉,デルダマ,Pass Orb,在这块神奇的玉石里，封存着用于产生释出之力的合众之力。
130,圆庆票,フェスチケット,Festival Ticket,可以在圆庆广场开启游乐项目。
131,银色王冠,ぎんのおうかん,Bottle Cap,银色的美丽王冠。有些人收到它会很高兴。
132,金色王冠,きんのおうかん,Gold Bottle Cap,金色的美丽王冠。比银色王冠珍贵。有些人收到它会很高兴。
133,伽勒豆蔻枝,ガラナツのえだ,Galarica Twig,伽勒尔部分地区生长的伽勒豆蔻这种植物的枝条。可以用来制作某种宝可梦的饰品。
134,铠甲矿石,ヨロイこうせき,Armorite Ore,能够在铠岛找出的珍稀石头。把它送给铠岛的收藏家，就会有好事发生。
135,极矿石,マックスこうせき,Dynite Ore,能够在王冠雪原找出的珍稀石头。把它送给王冠雪原的收藏家，就会有好事发生。
136,谜之碎片Ｓ,なぞのかけらＳ,Mysterious Shard S,能够感受到神秘力量的小碎片。碎片上浮现出了像玫瑰花一样的花纹。
137,谜之碎片Ｌ,なぞのかけらＬ,Mysterious Shard L,能够感受到神秘力量的大碎片。碎片上浮现出了像玫瑰花一样的花纹。
138,精通种子,かいでんのタネ,Seed of Mastery,稀有的种子。将它交给警卫组组长，就能让宝可梦的招式在迅疾与刚猛之间切换。
139,红球果,あかぼんぐり,Red Apricorn,红色的球果。有种刺鼻的气味。
140,蓝球果,あおぼんぐり,Blue Apricorn,蓝色的球果。略有一股青草的香味。
141,黄球果,きぼんぐり,Yellow Apricorn,黄色的球果。有种清爽的香味。
142,绿球果,みどぼんぐり,Green Apricorn,绿色的球果。有种焦香的香味，非常神奇。
143,粉球果,ももぼんぐり,Pink Apricorn,粉红色的球果。有种甜甜的，好闻的香味。
144,白球果,しろぼんぐり,White Apricorn,白色的球果。没有任何气味。
145,黑球果,くろぼんぐり,Black Apricorn,黑色的球果。有种无法形容的气味。
146,一般太晶碎块,テラピースノーマル,Normal Tera Shard,打倒太晶宝可梦时，破碎掉的太晶宝石有极低概率会结晶成此物。
147,火太晶碎块,テラピースほのお,Fire Tera Shard,-
148,水太晶碎块,テラピースみず,Water Tera Shard,-
149,电太晶碎块,テラピースでんき,Electric Tera Shard,-
150,草太晶碎块,テラピースくさ,Grass Tera Shard,-
151,冰太晶碎块,テラピースこおり,Ice Tera Shard,-
152,格斗太晶碎块,テラピースかくとう,Fighting Tera Shard,-
153,毒太晶碎块,テラピースどく,Poison Tera Shard,-
154,地面太晶碎块,テラピースじめん,Ground Tera Shard,-
155,飞行太晶碎块,テラピースひこう,Flying Tera Shard,-
156,超能力太晶碎块,テラピースエスパー,Psychic Tera Shard,-
157,虫太晶碎块,テラピースむし,Bug Tera Shard,-
158,岩石太晶碎块,テラピースいわ,Rock Tera Shard,-
159,幽灵太晶碎块,テラピースゴースト,Ghost Tera Shard,-
160,龙太晶碎块,テラピースドラゴン,Dragon Tera Shard,-
161,恶太晶碎块,テラピースあく,Dark Tera Shard,-
162,钢太晶碎块,テラピースはがね,Steel Tera Shard,-
163,妖精太晶碎块,テラピースフェアリー,Fairy Tera Shard,-
164,星晶太晶碎块,テラピースステラ,Stellar Tera Shard,}
165,光粉,ひかりのこな,Bright Powder,闪闪发光的粉末。携带后，光芒会迷惑对手，从而使其招式变得不容易命中。
166,先制之爪,せんせいのツメ,Quick Claw,又轻又尖锐的爪子。携带后，有时能比对手先一步行动。
167,王者之证,おうじゃのしるし,King's Rock,携带后进行攻击，在造成伤害时，有时会让对手畏缩。
168,银粉,ぎんのこな,Silver Powder,散发着银色光辉的粉末。携带后，虫属性的招式威力就会提高。
169,护符金币,おまもりこばん,Amulet Coin,只要携带它的宝可梦在战斗时出场一次，就能获得２倍金钱。
170,洁净之符,きよめのおふだ,Cleanse Tag,让排在最前面的宝可梦携带后，野生宝可梦就会不容易出现。
171,烟雾球,けむりだま,Smoke Ball,携带它的宝可梦在和野生宝可梦的战斗中绝对可以逃走。
172,不变之石,かわらずのいし,Everstone,携带后，宝可梦在此期间不会进化的神奇石头。
173,气势头带,きあいのハチマキ,Focus Band,携带后，即便受到可能会导致濒死的招式，有时也能仅以１ＨＰ撑过去。
174,幸运蛋,しあわせタマゴ,Lucky Egg,满载着幸福的蛋。携带它的宝可梦获得的经验值会少量增加。
175,焦点镜,ピントレンズ,Scope Lens,能看见弱点的镜片。携带它的宝可梦的招式会变得容易击中要害。
176,金属膜,メタルコート,Metal Coat,特殊的金属膜。携带后，钢属性的招式威力就会提高。
177,吃剩的东西,たべのこし,Leftovers,携带后，宝可梦的ＨＰ会在战斗期间缓缓回复。
178,龙之鳞片,りゅうのウロコ,Dragon Scale,又硬又坚固的鳞片。龙属性宝可梦有时会携带它。
179,电气球,でんきだま,Light Ball,让皮卡丘携带后，攻击和特攻的威力就会提高的神奇之球。
180,柔软沙子,やわらかいすな,Soft Sand,手感细腻的沙子。携带后，地面属性的招式威力就会提高。
181,硬石头,かたいいし,Hard Stone,绝对不会裂开的石头。携带后，岩石属性的招式威力就会提高。
182,奇迹种子,きせきのタネ,Miracle Seed,孕育生命的种子。携带后，草属性的招式威力就会提高。
183,黑色眼镜,くろいメガネ,Black Glasses,看上去很奇怪的眼镜。携带后，恶属性的招式威力就会提高。
184,黑带,くろおび,Black Belt,能振作精神的带子。携带后，格斗属性的招式威力就会提高。
185,磁铁,じしゃく,Magnet,强力的磁铁。携带后，电属性的招式威力就会提高。
186,神秘水滴,しんぴのしずく,Mystic Water,水滴形状的宝石。携带后，水属性的招式威力就会提高。
187,锐利鸟嘴,するどいくちばし,Sharp Beak,又长又尖的鸟嘴。携带后，飞行属性的招式威力就会提高。
188,毒针,どくバリ,Poison Barb,有毒的小针。携带后，毒属性的招式威力就会提高。
189,不融冰,とけないこおり,Never-Melt Ice,能隔绝热量的冰。携带后，冰属性的招式威力就会提高。
190,诅咒之符,のろいのおふだ,Spell Tag,古怪可怕的咒符。携带后，幽灵属性的招式威力就会提高。
191,弯曲的汤匙,まがったスプーン,Twisted Spoon,注入了念力的汤匙。携带后，超能力属性的招式威力就会提高。
192,木炭,もくたん,Charcoal,焚烧用的燃料。携带后，火属性的招式威力就会提高。
193,龙之牙,りゅうのキバ,Dragon Fang,坚硬锐利的牙齿。携带后，龙属性的招式威力就会提高。
194,粉红色丝带,ピンクのリボン,Pink Bow,"rowspan=""2""| 携带后，{{type|一般}}的招式威力就会提高。"
195,水玉色之带,みずたまりボン,Polkadot Bow,-
196,丝绸围巾,シルクのスカーフ,Silk Scarf,手感不错的围巾。携带后，一般属性的招式威力就会提高。
197,破坏基因,はかいのいでんし,Berserk Gene,攻击的威力就会提高，但会造成混乱。
198,升级数据,アップグレード,Up-Grade,内部储存了各种信息的透明机器。西尔佛公司制造。
199,吉利拳,ラッキーパンチ,Lucky Punch,能带来幸运的拳套。让吉利蛋携带后，招式会变得容易击中要害。
200,金属粉,メタルパウダー,Metal Powder,让百变怪携带后，防御就会提高的神奇粉末。非常细腻坚硬。
201,速度粉,スピードパウダー,Quick Powder,让百变怪携带后，速度就会提高的神奇粉末。非常细腻坚硬。
202,粗骨头,ふといホネ,Thick Club,某种坚硬的骨头。让卡拉卡拉或嘎啦嘎啦携带后，攻击就会提高。
203,大葱,ながねぎ,Stick,非常长且坚硬的茎。让大葱鸭携带后，招式会变得容易击中要害。
204,果实,きのみ,Berry,携带后，可以回復自己１０点体力。
205,黄金的果实,おうごんのみ,Gold Berry,携带后，可以回復自己３０点体力。
206,消除麻痹的果实,まひなおしのみ,PRZCureBerry,携带后，可以治愈自己的麻痹状态。
207,解毒的果实,どくけしのみ,PSNCureBerry,携带后，可以治愈自己的中毒状态。
208,苦涩的果实,にがいきのみ,Bitter Berry,携带后，可以治愈自己的混乱状态。
209,烧烤的果实,やけたきのみ,Burnt Berry,携带后，可以治愈自己的冰冻状态。
210,冰冻的果实,こおったきのみ,Ice Berry,携带后，可以治愈自己的灼伤状态。
211,薄荷的果实,はっかのみ,Mint Berry,携带后，可以治愈自己的睡眠状态。
212,奇迹的果实,きせきのみ,MiracleBerry,携带后，可以治愈自己所有的异常状态。
213,神奇的果实,ふしぎなきのみ,MysteryBerry,携带后，可以在战斗中回复自己的ＰＰ。
214,白色香草,しろいハーブ,White Herb,当携带它的宝可梦能力降低时，仅能回到之前的状态１次。
215,心灵香草,メンタルハーブ,Mental Herb,当携带它的宝可梦无法自由使出招式时，仅会回复１次。
216,强力香草,パワフルハーブ,Power Herb,携带它的宝可梦仅有１次机会可以在第１回合使出需要蓄力的招式。
217,强制锻炼器,きょうせいギプス,Macho Brace,又硬又重的锻炼器。虽然携带后速度会降低，但会比平时更容易茁壮成长。
218,安抚之铃,やすらぎのすず,Soothe Bell,音色悦耳的铃铛。携带它的宝可梦会受到安抚，变得容易和训练家亲密。
219,讲究头带,こだわりハチマキ,Choice Band,有点讲究的头带。虽然携带后攻击会提高，但只能使出相同的招式。
220,讲究眼镜,こだわりメガネ,Choice Specs,有点讲究的眼镜。虽然携带后特攻会提高，但只能使出相同的招式。
221,讲究围巾,こだわりスカーフ,Choice Scarf,有点讲究的围巾。虽然携带后速度会提高，但只能使出相同的招式。
222,心之水滴,こころのしずく,Soul Dew,让拉帝欧斯或拉帝亚斯携带后，超能力和龙属性的招式威力就会提高的神奇珠子。
223,深海之牙,しんかいのキバ,Deep Sea Tooth,让珍珠贝携带后，特攻就会提高的牙齿。散发着闪亮的银光。
224,深海鳞片,しんかいのウロコ,Deep Sea Scale,让珍珠贝携带后，特防就会提高的鳞片。散发着淡淡的粉红色光芒。
